                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0756,                 0.6842,                 1.4025,                0.91163,                0.88947,                0.95038,                0.61798,                 1.3564,                0.80899,                 1.5156,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.0664,                0.68904,                 1.3936,                0.92875,                 0.9051,                0.95271,                0.59281,                 1.3715,                0.79979,                 1.5249,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.0531,                0.68039,                 1.3862,                 0.9085,                0.88749,                0.94736,                 0.6028,                 1.3086,                0.76501,                 1.4764,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.0724,                0.70334,                 1.4076,                0.89293,                0.88903,                0.93169,                0.58373,                 1.3336,                0.91364,                 1.4935,             0.00074282,             0.00074282,             0.00074282
                     59,                  1.062,                0.68077,                 1.3909,                0.90794,                0.91837,                0.95667,                0.61779,                 1.3438,                0.70153,                 1.4981,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.0579,                0.68341,                  1.399,                0.87996,                0.91357,                 0.9552,                0.61149,                 1.3794,                0.72667,                 1.5229,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0444,                0.66863,                 1.3696,                0.90797,                0.91579,                0.94911,                0.61163,                 1.3171,                 0.7505,                  1.506,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.0322,                0.67462,                  1.383,                0.89361,                0.91038,                0.94386,                0.60117,                 1.4136,                0.77123,                 1.5543,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.0377,                0.68426,                 1.3786,                0.93607,                0.85545,                0.97146,                0.62578,                 1.3192,                0.69733,                 1.4811,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.046,                 0.6583,                 1.3687,                0.86247,                 0.9486,                 0.9698,                 0.6144,                 1.3398,                0.74118,                 1.4821,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.0147,                0.64212,                 1.3609,                0.89667,                0.91255,                0.95134,                0.62426,                 1.3069,                0.70626,                 1.4584,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.0449,                0.64044,                 1.3801,                0.89087,                0.91439,                0.95653,                0.61452,                 1.3402,                0.72289,                 1.4909,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.0405,                0.65846,                 1.3818,                0.86018,                0.92975,                0.96291,                0.62945,                 1.3146,                0.67321,                 1.4764,             0.00059429,             0.00059429,             0.00059429
